_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
27.9337,47,40000,-15.45227751,-9.073179222,-17.11258426,-1.017879957,-13.43818575,-13.19508444,-13.2916574,-13.2916574,2.014091764,-4.12190522,3.820926864,-12.27377744,0.016661577,0.519475974,-1.256047373,-7.552964867,-0.00474318,0.999999999,48,15.09,23.84965539,0.01,1.0018963,0.9988781,0.9999959,0.34443825,1.84E-08,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.692725,48,40000,-21.72018291,-21.72018291,-21.59561832,-16.27432272,-8.932241436,-8.932241436,-32.29481939,-32.29481939,12.78794148,12.78794148,-10.69920107,-16.02049667,0.014053136,0.514775739,-1.924855004,-7.909718437,-0.013467871,0.999999997,49,15.42,36.5513128,0.01,1.0026283,0.9986577,0.9999953,0.34592435,5.80E-08,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.48625,47,40000,-64.3604444,-52.60426935,-55.47793613,-1.503989816,-57.12981198,-44.27940634,-77.06963607,-77.06963607,7.230632421,8.32486301,-21.59169994,-75.56564626,0.017489803,0.523726186,-1.328052418,-6.568206383,-0.009294177,0.999999999,50,15.75,25.25667381,0.01,1.0008674,0.99778014,0.99999875,0.34451187,1.95E-08,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,averages:,1.48887353,1.803611009,1.857656512,12.66212497,,,,,,,,,,,,,,,,
,,,,,,,,,,not abs: ,0.970284662,0.969754114,-0.361559816,-9.670333619,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
